"id","title","body","created_at","closed_at","days_to_close","issue_priority","milestone","author_name","user_atribute_to_resolve_issue","issue_classification"
141,"Figure out why the clang-tidy job in lint.yml failed to login ghcr.io occasionally","Example

![image](https://user-images.githubusercontent.com/658840/121723988-0f940580-ca9c-11eb-9c8d-1a15a8460516.png)




cc @ezyang @gchanan @zou3519 @bdhirsh @jbschlosser @anjali411 @Varal7 @seemethere @malfet @walterddr @pytorch/pytorch-dev-infra","2021-06-11","2021-06-23","12","high priority",NULL,"Rex Zhou","zhouzhuojie","OTHERS"
142,"[deploy] Restrict Tensors to only belong to one Python interpreter","Currently, torchdeploy supports associating a single TensorImpl with multiple Python interpreters. There are some downsides to allowing this:

1. If a TensorImpl is mutated across multiple threads, locking is necessary. However, torchdeploy doesn't provide any  mechanisms for ensuring that locking actually happens. This means that this sharing is quite dangerous: normal, ordinarily safe Python code running in torchdeploy can potentially data race and crash the process. Although TorchScript has a similar problem (it permits running multiple TS interpreters in parallel with shared data), we believe torchdeploy is more likely to be affected by this problem because you *really are just writing Python* and people are going to quite reasonably expect to be able to do whatever they want without locking.
2. Associating a single TensorImpl with multiple PyObjects requires us to maintain a separate hash map per interpreter mapping TensorImpl to PyObject, because there isn't enough space on TensorImpl to store all of the PyObjects a TensorImpl may be associated with. This is inefficient (because whenever Tensor crosses to Python we have to do a hash table lookup)

This proposal is to force tensors to only belong to a single Python interpreter for now, so that (1) you cannot share a tensor across multiple interpreters, and (2) we can safely save the PyObject pointer in TensorImpl. This is ""for now"" as we can always decide to relax this restriction later (making cases that previously errored stop erroring) if we decide to change our mind.

The primary implementation idea for how we do this is that Tensors start off unassociated with any Python interpreter. The first time the cross into the PyObject, we atomically assign them to some interpreter; the Tensor is now permanently associated with this interpreter and will raise an error if you try to transfer cross into a PyObject on a different interpreter. This means we store both a pointer to a PyObject, as well as an ID identifying what interpreter it is associated with. On 64-bit systems, these can be packed into a single word, if we specify the interpreter ID to be a 16-bit integer.","2021-05-06","2021-05-20","14","priorized",NULL,"Edward Z. Yang","Edward Z. Yang","OTHERS"
143,"test_mkldnn.py have some Linux specific checks in default codepath","See 
https://github.com/pytorch/pytorch/blob/095c328d9fb86c348fbd100c3ee995a0698ac9a9/test/test_mkldnn.py#L30-L37

Which causes following nice error messages when running for example on Mac:
```
Apr 30 15:25:29   test_max_pool2d_bf16 (__main__.TestMkldnn) ... grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:29 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
Apr 30 15:25:30 grep: /proc/cpuinfo: No such file or directory
```

cc @ezyang @seemethere @malfet @walterddr @pytorch/pytorch-dev-infra","2021-04-30","2021-05-03","3","low priority",NULL,"Nikita Shulga","imaginary-person","OTHERS"
144,"Avoid unnecessary creation of tensors in SparseCsrTensorImpl::resize_and_clear_","As in title. The issue raised in https://github.com/pytorch/pytorch/pull/50937#discussion_r603536011

Related code:
https://github.com/pytorch/pytorch/blob/76214bb4641fd75fe4ab0e87b05f90462de85fdc/aten/src/ATen/SparseCsrTensorImpl.cpp#L64-L70


cc @aocsa @nikitaved @pearu @mruberry","2021-04-22","2021-05-31","39","priorized",NULL,"Pearu Peterson","aocsa","PROJECT PATTERNS"
145,"Use `rg` for quick checks","The quick checks in `lint.yml` use `git grep` to search for things like newlines, trailing spaces, etc. 

https://github.com/pytorch/pytorch/blob/a4626348bc85b6484d647ceb07298b3516e2a7b3/.github/workflows/lint.yml#L48

We should change this to install [rg](https://github.com/BurntSushi/ripgrep) via `sudo apt install -y ripgrep` and use that instead. It's ever so slightly more ergonomic to use and provides about a 3x speedup over `git grep`

cc @ezyang @seemethere @malfet @walterddr @pytorch/pytorch-dev-infra","2021-04-20","2021-08-02","104","priorized",NULL,"driazati","driazati","OTHERS"
146,"Re-order tests based on files in the PR","We already have some (unused) logic to bring certain tests to the front of the list in `run_test.py`:

https://github.com/pytorch/pytorch/blob/a4626348bc85b6484d647ceb07298b3516e2a7b3/test/run_test.py#L829-L831

We should use something like this to re-order tests based on the PR in order to decrease testing turn-around time. A simplistic version could query git for changed test files and bring those to the front. Chances are if someone edited a test file and there is a broken test on their PR, it is probably going to be in that file. By running it first, CI will terminate / deliver signal to the developer faster. This could be way more granular / smarter (i.e. use code coverage data to determine which code affects which tests rather than just looking at file names), but we could still probably get CI runtime wins by starting with the simple version.

I'm imagining some code in `run_test.py` that looks for CircleCI's environment variables for the base / head SHA, `git diff --name-only`'s them, and prioritizes the intersection of the passed in test list + the test files from the diff.

cc @ezyang @seemethere @malfet @walterddr @pytorch/pytorch-dev-infra","2021-04-20","2022-03-15","329","priorized",NULL,"driazati","janeyx99","SOFTWARE ARCHITECTURE"
147,"[BE] optimize hard-coded branch name in util scripts that might not work on release branch","There are a bunch of hard-coded master branch name in utility scripts used for CI. 

Here are the ones that potentially will be used in CI
* [.jenkins/pytorch/common_utils.sh](https://github.com/pytorch/pytorch/blob/a4626348bc85b6484d647ceb07298b3516e2a7b3/.jenkins/pytorch/common_utils.sh#L52-L58)
* [test/run_test.py](https://github.com/pytorch/pytorch/blob/a4626348bc85b6484d647ceb07298b3516e2a7b3/test/run_test.py#L411-L413)
* [tools/export_slow_tests.py](https://github.com/pytorch/pytorch/blob/a4626348bc85b6484d647ceb07298b3516e2a7b3/tools/export_slow_tests.py#L16)

These might be broken if run on release branch.



cc @ezyang @seemethere @malfet @walterddr @pytorch/pytorch-dev-infra","2021-04-20","2022-03-04","318","priorized",NULL,"Rong Rong","seemethere","OTHERS"
148,"Remove distutils","Distutils is [deprecated via PEP 632](https://www.python.org/dev/peps/pep-0632/#:~:text=In%20Python%203.10%20and%203.11,platforms%20will%20not%20be%20added.) in Python 3.10+ and will be removed in 3.12. There's no reason for us to keep using it, so we should get rid of all usages so it doesn't bite us later when 3.10 rolls around.

Usages:

```
$ ag --ignore third_party distutils
caffe2/CMakeLists.txt
1707:      from distutils import sysconfig
1719:      from distutils import sysconfig

cmake/Dependencies.cmake
938:    # distutils.sysconfig, if it's installed, is more accurate than sysconfig,
940:    pycmd_no_exit(_py_inc _exitcode ""from distutils import sysconfig; print(sysconfig.get_python_inc())"")
943:      message(STATUS ""Setting Python's include dir to ${_py_inc} from distutils.sysconfig"")

scripts/build_android.sh
64:  CMAKE_ARGS+=(""-DCMAKE_PREFIX_PATH=$($PYTHON -c 'from distutils.sysconfig import get_python_lib; print(get_python_lib())')"")

scripts/build_mobile.sh
18:CMAKE_ARGS+=(""-DCMAKE_PREFIX_PATH=$(python -c 'from distutils.sysconfig import get_python_lib; print(get_python_lib())')"")

scripts/get_python_cmake_flags.py
18:from distutils import sysconfig

scripts/build_ios.sh
16:  CMAKE_ARGS+=(""-DCMAKE_PREFIX_PATH=$(python -c 'from distutils.sysconfig import get_python_lib; print(get_python_lib())')"")

test/test_spectral_ops.py
16:from distutils.version import LooseVersion

tools/setup_helpers/cmake.py
10:import distutils.sysconfig
11:from distutils.version import LooseVersion
233:            'CMAKE_PREFIX_PATH': distutils.sysconfig.get_python_lib()
319:                      PYTHON_INCLUDE_DIR=distutils.sysconfig.get_python_inc(),

tools/build_pytorch_libs.py
10:    from distutils._msvccompiler import _get_vc_env

tools/generate_torch_version.py
5:from distutils.util import strtobool

torch/package/_stdlib.py
79:    ""distutils"",
298:    ""distutils"",
516:    ""distutils"",
732:    ""distutils"",

torch/testing/_internal/common_cuda.py
9:from distutils.version import LooseVersion

torch/testing/_internal/common_methods_invocations.py
37:from distutils.version import LooseVersion

torch/utils/tensorboard/__init__.py
2:from distutils.version import LooseVersion

torch/utils/cpp_extension.py
338:    Fallbacks to the standard distutils backend if Ninja is not available.
368:                   '{}. Falling back to using the slow distutils backend.')
479:            # of distutils.UnixCCompiler). See the following link.
480:            # https://github.com/python/cpython/blob/f03a8f8d5001963ad5b5b28dbd95497e9cc15596/Lib/distutils/ccompiler.py#L564-L567
484:            # we update our python version (which is when distutils can be
697:        # https://github.com/python/cpython/blob/dc0284ee8f7a270b6005467f26d8e5773d76e959/Lib/distutils/ccompiler.py#L511
737:        if IS_WINDOWS and 'VSCMD_ARG_TGT_ARCH' in os.environ and 'DISTUTILS_USE_SDK' not in os.environ:
738:            msg = ('It seems that the VC environment is activated but DISTUTILS_USE_SDK is not set.'
740:                   'Please set `DISTUTILS_USE_SDK=1` and try again.')
1638:        from distutils.util import get_platform
1639:        from distutils._msvccompiler import _get_vc_env

README.md
316:set DISTUTILS_USE_SDK=1

mypy.ini
190:[mypy-distutils.*]

setup.py
24:#     the C/C++ compiler to use (NB: the CXX flag has no effect for distutils
25:#     compiles, because distutils always uses CC to compile, even for C++
200:from distutils import core
201:from distutils.core import Distribution
202:from distutils.errors import DistutilsArgError
205:import distutils.command.clean
206:import distutils.command.sdist
207:import distutils.sysconfig
270:rel_site_packages = distutils.sysconfig.get_python_lib(prefix='')
272:full_site_packages = distutils.sysconfig.get_python_lib()
276:        distutils.sysconfig.get_config_var(""prefix""),
277:        distutils.sysconfig.get_config_var(""VERSION""))
283:            distutils.sysconfig.get_config_var(""VERSION""))
286:        distutils.sysconfig.get_config_var(""LIBDIR""),
287:        distutils.sysconfig.get_config_var(""INSTSONAME""))
288:cmake_python_include_dir = distutils.sysconfig.get_python_inc()
494:        system_c_flags = str(distutils.sysconfig.get_config_var('CFLAGS'))
496:            os.environ['CC'] = str(distutils.sysconfig.get_config_var('CC'))
562:        distutils.command.build_ext.build_ext.build_extensions(self)
565:        outputs = distutils.command.build_ext.build_ext.get_outputs(self)
647:class clean(distutils.command.clean.clean):
671:class sdist(distutils.command.sdist.sdist):
870:    except DistutilsArgError as msg:
```

cc @malfet @seemethere @walterddr @pytorch/pytorch-dev-infra ","2021-04-20","2021-04-29","9","priorized",NULL,"driazati","driazati","OTHERS"
149,"Simplify error message for failed int comparison","If you use assertEqual to compare two integers you get a message like

```
AssertionError: False is not true : Scalars failed to compare as equal! Comparing -6 and 0 gives a difference of 6, but the allowed difference with rtol=0 and atol=0 is only 0!
```

The stuff about rtol and atol is is needlessly obscure and obscures the fact that, e.g., the integers in question are exit codes, for example. One easy fix is to suppress rtol/atol sentence if those are exactly zero; I'd also suggest we shouldn't report ""difference"" for integer comparison.","2021-04-19","2021-06-29","71","priorized",NULL,"Edward Z. Yang","Edward Z. Yang","PROJECT PATTERNS"
150,"Compile PyTorch core with -Werror","PyTorch codebase should be reasonable warning free, which is not the case for now.
This is something that is very hard to achieve in one change, so perhaps a gradual approach can be taken:

- [ ] Add all source files to libtorch_compiler_with_Wnoerror_flag
- [ ] Modify CMake system to add -Werror to the CFLAGS unless file is in the list
- [ ] Modify build system to ignore warnings in 3rd party libraries
- [ ] Update default Wno-lists
This would allow us to stabilize the situation and eventually remove files from this list one by one

cc @ezyang @seemethere @malfet @walterddr @pytorch/pytorch-dev-infra","2021-04-14","2022-02-28","320","priorized",NULL,"Nikita Shulga","seemethere","PROJECT PATTERNS"
151,"C++17 for PyTorch","We are planning to migrate the PyTorch codebase to C++17, but are currently blocked by CUDA. This issue summarizes a discussion I had with @malfet and @ngimel about this.

CUDA 11 is the first CUDA version to support C++17, so we'd have to drop support for CUDA 10, but there are good reasons for us to keep CUDA 10 around still:
1. A PyTorch build with CUDA 10 takes around 800MB, while a PyTorch build with CUDA 11 takes 1.9GB. This is a lot of data to put in a wheel. The size difference is both due to CUDA 11 libraries generally being larger, and also due to CUDA 11 wheels supporting 2 additional architectures, sm_80 and sm_86.
2. PyTorch wheels and conda packages with CUDA 11 are slower than CUDA 10 for the architectures they both support (sm_75) because [fast kernels are dropped due to static linking](https://github.com/pytorch/pytorch/issues/47908). Additionally, our CUDA 11 wheels are slower than dynamically linked CUDA 11 builds on Ampere (sm86) because of the dropped kernels, but that’s a separate issue that needs to be solved. 


These issues would have to be fixed in CUDA, there's not much we can do on the PyTorch side.

#### Workarounds we considered (kudos to @malfet and @ngimel for the ideas)
- Only build .cpp files with C++17 while building .cu files in C++14 mode.
  - Since .cu files includes a lot of our core headers, this means we'd still be restricted to C++14 in many parts of the codebase. Furthermore, if you accidentally use a C++17 feature right now and do a local CPU build, in the current world you get a local compiler error while in the dual C++14/C++17 world, it would only fail on CI. This would decrease developer efficiency and productivity.
- Stay with CUDA 10 but invoke nvcc with `-std=c++14 '-Xcompiler -std=c++17'`
  - This could work for some C++17 features, namely ones that don't change C++ syntax, but C++17 does introduce a couple of features that change the C++ syntax. This would likely trip up nvcc when it's trying to parse the C++ code. Even if it worked today, this could be a fragile setup and break in the future.
- Use a Frankenstein CUDA where most components are from CUDA 10, but nvcc and cudafe are from CUDA 11.
  - This would add a significant maintenance burden. Also, it would likely only work in Facebook where we fully control the build. It would leave people behind that build in open source with the public available CUDA distribution, unless they use the Frankenstein toolkit too, and we don't want to be in the business of distributing that. And leaving oss users behind is not an option.
- Split the wheel
  - Instead of distributing PyTorch in one wheel, we could have users download two wheels, e.g. one for PyTorch and one for CUDA, or maybe one for PyTorch CPU and one for PyTorch CUDA kernels + CUDA library. This could alleviate the binary size problem for some users, namely those who don't use CUDA, but GPU users would still have to download both. Distributing CUDA separately could work well for conda, but could pose issues with pip.
- Link CUDA dynamically
  - At least some of the perf issues in CUDA 11 seem to be due to cuDNN not using fast kernels if linked statically. By linking dynamically, we could fix those perf problems. However, that would make the binary size problem even worse since dynamically linking CUDA would prevent the linker from stripping away unused parts of it. Also, we wouldn't be able to link it with `-fvisibility=hidden`, so it could cause symbol conflicts with other libraries.
- Change the way we integrate CPU/CUDA, i.e. stop using triple chevrons `cuda_kernel<<<1, 1>>>(arguments, argument, argument)`
  - If we migrate our CUDA code away from triple chevrons towards `cuLaunchKernel`, then we would be able to avoid nvcc for code outside of CUDA kernels, which would allow us to write it in C++17. However, this would be a nontrivial engineering effort. Also, kineto isn't correctly recording kernels launched with `cuLaunchKernel`, so that would have to be fixed too.

cc @malfet @seemethere @walterddr @ngimel","2021-04-14","2022-12-07","602","priorized",NULL,"Sebastian Messmer","rgommers","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
152,"Preserve PyObject even when it is dead from Python side","In https://github.com/pytorch/pytorch/issues/22884 I observed that if the Python object representing a Tensor gets deallocated, it promptly goes dead and we create a new Python object to replace it next time it passes from C++ to Python. This is problematic for tensors that represent Python subclasses and/or have custom `__dict__` entries, because all of that information solely lives in Python and is lost when this occurs.

I have devised a scheme to solve this problem, based off of @colesbury's POC for keeping two PyObjects live so long as one of them lives https://github.com/colesbury/refcount/blob/master/refcount.c The key idea is that it is possible to ""rescue"" a Python object from being deallocated, even if its refcount goes to zero (this is easy to do safely in Python because of the GIL). So here's the idea:

* Ordinarily, PyObject holds an owning reference to TensorImpl
* When the PyObject would die, we now check if the TensorImpl is uniquely owned by the PyObject's owning reference. If so, the TensorImpl is dead too and we can destruct everything as normal. HOWEVER, if the TensorImpl is still live, we now flip ownership: we toggle a boolean on TensorImpl indicating that it has an owning reference to the PyObject, and we bump the PyObject's reference count to make sure it doesn't go dead. Call this a **zombie PyObject**
* If a TensorImpl dies while holding an owning reference to a PyObject, it is responsible for also deallocating the PyObject. This will be done using a virtual call in to the libpython.
* If we try to take an owning reference to a zombie PyObject, we flip the ownership back again. So we toggle the TensorImpl to be non-owning again, skip the Python incref and directly return the PyObject (no longer zombie)

The key invariant of this scheme is that it is not necessary to have resurrect a zombie TensorImpl; the invariant is that a TensorImpl only ever goes dead if there are truly no references (no direct references to the TensorImpl, and no owning reference from a non-zombie PyObject).

To make testing out this scheme less risky, we can opt into this scheme only for subclasses of Tensor. However, I think that if there is no major performance impact we should eventually turn this on globally.","2021-04-09","2021-06-03","55","priorized",NULL,"Edward Z. Yang","albanD","OTHERS"
153,"Misleading/Inconsistent Exceptions Raised by `nn.ModuleList.forward`","## 🐛 Bug

`nn.ModuleList` does not have meaningful semantics for `forward`, yet calling forward does not raise informative exceptions. I have seen this be confusing for many students in a course we are teaching. For a call to `forward` with non-empty arguments, instead of the apparently intended `NotImplementedException` or, alternatively, the default Python `AttributeError` (""ModuleList object has no attribute 'forward'"") that one might expect, we instead get a `TypeError: forward() takes 1 positional argument but <n> were given`.


## To Reproduce

Steps to reproduce the behavior:

1. `nn.ModuleList().forward()` # results in expected `NotImplementedException` being raised
2. `nn.ModuleList().forward(torch.zeros(1))` # results in `TypeError: forward() takes 1 positional argument but 2 were given`

## Expected behavior

`nn.ModuleList().forward(*args)` should raise `NotImplementedException` for any argument list to make it clear that `forward` is unsupported/unimplemented functionality for `nn.ModuleList` (and not merely a call with wrong arguments).

The issues is in the current implementation of the `forward` method, which raises `NotImplementedException` but takes no arguments (except `self`), resulting in the above issues.

## Environment
The issue is independent of environment/runtime. It is present in current master and a quick look suggests that it is present at least since version 1.4.
","2021-04-07","2021-04-21","14","priorized",NULL,"Lukas Prediger","jbschlosser","OTHERS"
154,"c10d: GlooStore and Store APIs are inconsistent","## GlooStore and Store APIs are inconsistent

ProcessGroupGloo wraps Store in a GlooStore, which has the following wait API signature (sets a `std::vector<char>`):
https://github.com/pytorch/pytorch/blob/master/torch/lib/c10d/ProcessGroupGloo.cpp#L175

However, Store has the following signature (sets a `std::vector<uint8_t>`):
https://github.com/pytorch/pytorch/blob/master/torch/lib/c10d/Store.hpp#L29

This results in having to write different code when using GlooStore/Store, but ideally user wouldn't even need to be aware of the underlying store impl and the code would be simplified if both had the same interface. We would also be able to remove some code that is responsible for converting `std::vector<char>` -> `std::vector<uint8_t>` and vice versa.

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @agolynski @SciPioneer @H-Huang @mrzzd @cbalioglu","2021-04-05","2021-04-29","24","priorized",NULL,"Rohan Varma","rohan-varma","PROJECT PATTERNS"
155,"Move distributed tests to single CI configuration","## 🚀 Feature
Move all the distributed tests (tests in the `distributed` folder onto a single configuration on CI.

## Motivation
The distributed tests are currently running on many different CI configurations (basically in all the ones with the name `-cuda-` in it). This does not have to be so. By moving them into one configuration, we can reduce CI cost considerably.

## Additional context

The way to do this would be to tinker around with the files in the .circleci folder. This change may be similar to the special configurations we have for noarch_tests or slow_tests.

cc @ezyang @seemethere @malfet @walterddr @pytorch/pytorch-dev-infra @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @agolynski @SciPioneer @H-Huang @mrzzd @cbalioglu","2021-04-01","2022-03-02","335","priorized",NULL,"Jane (Yuan) Xu","janeyx99","OTHERS"
156,"Use dispatcher to split up quantized operations","There are a bunch of operators which are defined like this:

```
std::tuple<Tensor, Tensor> max(const Tensor& self, int64_t dim, bool keepdim) {
  Tensor max_indices = at::empty({0}, self.options().dtype(kLong));
  if (self.is_quantized()) {
    Tensor max = at::empty({0}, self.options().dtype(toUnderlying(self.scalar_type())));
    at::native::max_out(max, max_indices, self.int_repr(), dim, keepdim);
    // TODO: qscheme
    return std::tuple<Tensor, Tensor>(at::_make_per_tensor_quantized_tensor(max, self.q_scale(), self.q_zero_point()), max_indices);
  } else {
    Tensor max = at::empty({0}, self.options());
    return at::native::max_out(max, max_indices, self, dim, keepdim);
  }   
}   
```

It would be better for the quantized portion of the conditional to be put in its own kernel, and then have it dispatched via QuantizedCPU.

cc @jerryzh168 @jianyuh @dzhulgakov @raghuramank100 @jamesr66a @vkuzo","2021-03-17","2022-02-25","345","priorized",NULL,"Edward Z. Yang","dzdang","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
157,"Add tests for store.wait()","There are no test cases for [store.wait()](https://pytorch.org/docs/master/distributed.html#torch.distributed.Store.wait). We should add them for TCPStore, FileStore, and HashStore in https://github.com/pytorch/pytorch/blob/master/test/distributed/test_store.py

## How to get started

0.1. (optional) get conda and create conda env
1. install dependences - https://github.com/pytorch/pytorch#install-dependencies
2. get the source - https://github.com/pytorch/pytorch#get-the-pytorch-source
3. install - https://github.com/pytorch/pytorch#install-pytorch
4. Once torch is installed with no errors. Test `python -c ""import torch; print(torch.__version__)""` to see you have the correct version, it should look something like: 2.0.0a0+git54020ba
5. Create your own python script and try to call the APIs you are testing. Note if you make only python changes to pytorch, you do NOT need to rebuild.

## How to run a test

1. `pip install pytest`
2. Use this test as an example `test_address_already_in_use` (https://github.com/pytorch/pytorch/blob/master/test/distributed/test_store.py#L205)
3. `pytest test/distributed/test_store.py -vsk test_address_already_in_use`
4. Check out https://github.com/pytorch/pytorch/blob/master/torch/distributed/CONTRIBUTING.md#running-unit-tests for more details

cc @gravityknife

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang @kwen2501 @agolynski @mrzzd @cbalioglu","2021-03-11","2023-05-01","781","priorized",NULL,"Howard Huang","Howard Huang","OTHERS"
158,"tensorinv and other linear algebra operators should not do a universal catch all block","In the implementation of tensorinv we have:

```
  // If the reshaped self is not invertible catch this error
  Tensor result;
  try {
    result = at::inverse(self.reshape({prod_ind_end, prod_ind_end}));
  } catch (...) {
    TORCH_CHECK(false, ""Failed to invert the input tensor, because it is singular."");
  }
```

This is bad code practice. For example, the inner operation could raise an exception because it ran out of memory, and you would still report it as singular. More concretely, this resulted in wrong behavior at https://github.com/pytorch/pytorch/pull/53682/files/29f176c952d5dd5614c933398fe3ed92de690a9e#diff-7e17421f32124016eb8de04dc2f445da5786a28355e1addc72b305466f590180 We shouldn't do a catch all. Ideally, there would be some interface to at::inverse that would let it explicitly signal, e.g., via boolean, that input was singular.

Related https://github.com/pytorch/pytorch/issues/47608

cc @jianyuh @nikitaved @pearu @mruberry @heitorschueroff @walterddr @IvanYashchuk @glaringlee ","2021-03-10","2021-08-18","161","priorized",NULL,"Edward Z. Yang","IvanYashchuk","OTHERS"
159,"Remove silly ""Buy new RAM!"" sentence in error message when out of CPU memory","See 

https://github.com/pytorch/pytorch/blob/f1f9b049d83fc20256a244d62b2eca6548a02fd5/c10/core/CPUAllocator.cpp#L75

The phrase ""Buy new RAM!"" is silly. It's not even good advice (wouldn't it be ""Buy more RAM!""?). And purchasing memory is not always an option for PyTorch users. We should just remove this unhelpful and possibly offensive phrase.","2021-03-08","2021-03-09","1","priorized",NULL,"Mike Ruberry","mthrok","OTHERS"
160,"Make not implemented autograd formulas raise NotImplementedError","Make the codegen raise nice NotImplementedError for formulas that are not implemented by leveraging work done in https://github.com/pytorch/pytorch/pull/53377

cc @ezyang @albanD @zou3519 @gqchen @pearu @nikitaved @soulitzer","2021-03-05","2021-06-08","95","priorized",NULL,"albanD","albanD","OTHERS"
